,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
211,EP NKAMBA,-1.9778,30.4814,cellular_tower,-1.9341,30.4835,4907.0,4.8655
212,EP NKAMBA,-1.9778,30.4814,cellular_tower,-1.9329,30.4875,10905.0,5.0388
213,EP GURIRO,-1.741,29.5374,ADSL,-1.7524,29.4441,,10.4444
214,EP GURIRO,-1.741,29.5374,FTTC,-1.6156,29.5198,,14.0849
215,EP GURIRO,-1.741,29.5374,ADSL,-1.8669,29.5588,,14.198
216,EP GURIRO,-1.741,29.5374,cellular_tower,-1.6219,29.489,1000.0,14.2966
217,EP GURIRO,-1.741,29.5374,cellular_tower,-1.6204,29.4922,1353.0,14.3226
218,EP GURIRO,-1.741,29.5374,cellular_tower,-1.6204,29.4914,1000.0,14.3541
219,EP GURIRO,-1.741,29.5374,cellular_tower,-1.6199,29.4921,2048.0,14.3786
220,EP GURIRO,-1.741,29.5374,cellular_tower,-1.6189,29.4944,1615.0,14.3959
221,EP INDATWA,-2.3954,30.5635,EVDSL,-2.3584,30.5621,,4.1131
222,EP INDATWA,-2.3954,30.5635,ADSL,-2.3178,30.6477,,12.727
223,EP INDATWA,-2.3954,30.5635,ADSL,-2.3581,30.4389,,14.4501
224,EP INDATWA,-2.3954,30.5635,cellular_tower,-2.2836,30.5775,1000.0,12.5266
225,EP INDATWA,-2.3954,30.5635,cellular_tower,-2.2826,30.5765,2257.0,12.6237
226,EP INDATWA,-2.3954,30.5635,cellular_tower,-2.282,30.5724,2695.0,12.646
227,EP INDATWA,-2.3954,30.5635,cellular_tower,-2.281,30.5637,1562.0,12.7182
228,EP INDATWA,-2.3954,30.5635,cellular_tower,-2.282,30.5786,1000.0,12.7187
229,G.S KARAMBI,-2.5109,28.8908,FTTH,-2.4822,29.0043,,12.9996
230,G.S KARAMBI,-2.5109,28.8908,cellular_tower,-2.5108,28.8882,2519.0,0.2918
231,G.S KARAMBI,-2.5109,28.8908,cellular_tower,-2.5107,28.8936,3204.0,0.3089
232,G.S KARAMBI,-2.5109,28.8908,cellular_tower,-2.5067,28.8906,3169.0,0.4662
233,G.S KARAMBI,-2.5109,28.8908,cellular_tower,-2.5132,28.8946,3077.0,0.4919
234,G.S KARAMBI,-2.5109,28.8908,cellular_tower,-2.5181,28.8931,3583.0,0.8409
235,GS RWAHI,-1.859,29.927,cellular_tower,-1.8461,29.9568,1000.0,3.6092
236,GS RWAHI,-1.859,29.927,cellular_tower,-1.8461,29.9568,1000.0,3.6092
237,GS RWAHI,-1.859,29.927,cellular_tower,-1.8446,29.9564,1000.0,3.6387
238,GS RWAHI,-1.859,29.927,cellular_tower,-1.8399,29.9538,1546.0,3.6581
239,GS RWAHI,-1.859,29.927,cellular_tower,-1.8412,29.9549,1000.0,3.6786
240,KAMISEKE PS,-1.5056,30.2069,ADSL,-1.5028,30.2116,,0.6041
241,KAMISEKE PS,-1.5056,30.2069,cellular_tower,-1.6258,30.2193,1000.0,13.4409
242,KAMISEKE PS,-1.5056,30.2069,cellular_tower,-1.6258,30.2193,1000.0,13.4409
243,KAMISEKE PS,-1.5056,30.2069,cellular_tower,-1.6427,30.2088,1000.0,15.2511
244,KAMISEKE PS,-1.5056,30.2069,cellular_tower,-1.6427,30.2088,1000.0,15.2511
245,KAMISEKE PS,-1.5056,30.2069,cellular_tower,-1.6201,30.2868,13917.0,15.5246
246,GS GITARAGA,-1.9271,30.1887,EVDSL,-1.7946,30.1761,,14.8048
247,GS GITARAGA,-1.9271,30.1887,cellular_tower,-1.9443,30.1648,1000.0,3.2685
248,GS GITARAGA,-1.9271,30.1887,cellular_tower,-1.9549,30.1988,6962.0,3.2882
249,GS GITARAGA,-1.9271,30.1887,cellular_tower,-1.9435,30.1634,1000.0,3.3467
250,GS GITARAGA,-1.9271,30.1887,cellular_tower,-1.9435,30.1634,1000.0,3.3467
251,GS GITARAGA,-1.9271,30.1887,cellular_tower,-1.9532,30.1721,6046.0,3.435
252,EP KANZA,-1.5508,29.649,ADSL,-1.544,29.7467,,10.8927
253,EP KANZA,-1.5508,29.649,cellular_tower,-1.5441,29.6717,1000.0,2.6324
254,EP KANZA,-1.5508,29.649,cellular_tower,-1.5441,29.6717,1000.0,2.6324
255,EP KANZA,-1.5508,29.649,cellular_tower,-1.5354,29.6672,1320.0,2.6509
256,EP KANZA,-1.5508,29.649,cellular_tower,-1.5342,29.6677,8655.0,2.7802
257,EP KANZA,-1.5508,29.649,cellular_tower,-1.5328,29.667,3404.0,2.8302
258,EP RUBONA,-2.1784,30.325,,,,,15.0968
259,EP RUBONA,-2.1784,30.325,cellular_tower,-2.2066,30.1997,6694.0,14.2714
260,EP RUBONA,-2.1784,30.325,cellular_tower,-2.2177,30.2005,8350.0,14.5075
261,EP RUBONA,-2.1784,30.325,cellular_tower,-2.2496,30.2136,1000.0,14.6933
262,EP RUBONA,-2.1784,30.325,cellular_tower,-2.2459,30.2099,1000.0,14.8289
263,EP RUBONA,-2.1784,30.325,cellular_tower,-2.2467,30.21,1000.0,14.8645
264,EP GITEGA,-1.8472,29.7301,ADSL,-1.8859,29.6355,,11.3637
265,EP GITEGA,-1.8472,29.7301,cellular_tower,-1.7454,29.8958,12351.0,21.6134
266,EP GITEGA,-1.8472,29.7301,cellular_tower,-1.7841,29.9194,16382.0,22.1738
267,EP GITEGA,-1.8472,29.7301,cellular_tower,-1.7397,29.9,12962.0,22.345
268,EP GITEGA,-1.8472,29.7301,cellular_tower,-1.8001,29.9315,1000.0,22.9837
269,EP GITEGA,-1.8472,29.7301,cellular_tower,-1.8004,29.9321,1000.0,23.0411
270,EP KAMARASHAVU,-2.0488,30.6606,EVDSL,-1.9849,30.6206,,8.3745
271,EP KAMARASHAVU,-2.0488,30.6606,FTTH,-2.1496,30.6925,,11.7592
272,EP KAMARASHAVU,-2.0488,30.6606,FTTH,-2.1773,30.6838,,14.5244
273,EP KAMARASHAVU,-2.0488,30.6606,FTTC,-1.9557,30.7535,,14.6194
274,EP KAMARASHAVU,-2.0488,30.6606,cellular_tower,-2.0505,30.5639,1000.0,10.7451
275,EP KAMARASHAVU,-2.0488,30.6606,cellular_tower,-2.0574,30.5642,1000.0,10.7528
276,EP KAMARASHAVU,-2.0488,30.6606,cellular_tower,-2.0574,30.5642,1000.0,10.7528
277,EP KAMARASHAVU,-2.0488,30.6606,cellular_tower,-2.0491,30.5638,1000.0,10.7546
278,EP KAMARASHAVU,-2.0488,30.6606,cellular_tower,-2.0493,30.5638,1000.0,10.7547
279,EP RUSAMBU,-1.5397,29.5449,FTTC,-1.6156,29.5198,,8.8854
280,EP RUSAMBU,-1.5397,29.5449,EVDSL,-1.5339,29.4327,,12.4874
281,EP RUSAMBU,-1.5397,29.5449,cellular_tower,-1.5474,29.5567,5311.0,1.5703
282,EP RUSAMBU,-1.5397,29.5449,cellular_tower,-1.5483,29.5561,5374.0,1.5736
